tld,price,renewal,icann_fee
academy,25,25,0.18
accountant,19.98,19.98,0.18
accountants,75,75,0.18
actor,29,29,0.18
agency,18,18,0.18
apartments,40,40,0.18
app,12,12,0.18
associates,26,26,0.18
attorney,40,40,0.18
auction,23,23,0.18
band,20,20,0.18
bar,50,50,0.18
bargains,23,23,0.18
beer,20,20,0.18
bet,17,17,0.18
bid,3.98,4.98,0.18
bike,25,25,0.18
bingo,38,38,0.18
biz,13.5,13.5,0.18
black,42.5,42.5,0.18
blog,20,20,0.18
blue,15,15,0.18
boo,8,8,0.18
boston,10,10,0.18
boutique,23,23,0.18
broker,22,22,0.18
builders,25,25,0.18
business,9,9,0.18
cab,21.5,21.5,0.18
cafe,28,28,0.18
cam,14,14,0.18
camera,40,40,0.18
camp,38,38,0.18
capital,46,46,0.18
cards,25,25,0.18
care,27,27,0.18
careers,46,46,0.18
casa,7.5,7.5,0.18
cash,23,23,0.18
casino,110,110,0.18
catering,25,25,0.18
cc,8,8,0
center,17,17,0.18
ceo,70,70,0.18
chat,25,25,0.18
cheap,23,23,0.18
church,28,28,0.18
city,17,17,0.18
claims,46,46,0.18
cleaning,42,42,0.18
clinic,42,42,0.18
clothing,23,23,0.18
cloud,15,15,0.18
club,9.95,9.95,0.18
co,22,22,0
co.uk,4.94,4.94,0
coach,42,42,0.18
codes,42,42,0.18
coffee,25,25,0.18
college,45,45,0.18
com,9.59,9.59,0.18
com.co,8,8,0
community,25,25,0.18
company,10,10,0.18
compare,20,20,0.18
computer,25,25,0.18
condos,38,38,0.18
construction,25,25,0.18
consulting,30,30,0.18
contact,9,9,0.18
contractors,23,23,0.18
cooking,20,20,0.18
cool,25,25,0.18
coupons,38,38,0.18
credit,75,75,0.18
creditcard,125,125,0.18
cricket,19.98,19.98,0.18
cruises,38,38,0.18
dad,10,10,0.18
dance,18,18,0.18
date,3.98,4.98,0.18
dating,42,42,0.18
day,8,8,0.18
deals,25,25,0.18
degree,32,32,0.18
delivery,38,38,0.18
democrat,23,23,0.18
dental,45,45,0.18
dentist,40,40,0.18
design,35,35,0.18
dev,10,10,0.18
diamonds,38,38,0.18
digital,27,27,0.18
direct,25,25,0.18
directory,17,17,0.18
discount,21.5,21.5,0.18
doctor,80,80,0.18
dog,41,41,0.18
domains,28,28,0.18
download,3.98,4.98,0.18
education,21.5,21.5,0.18
email,19,19,0.18
energy,75,75,0.18
engineer,25,25,0.18
engineering,42,42,0.18
enterprises,25,25,0.18
equipment,16,16,0.18
esq,20,20,0.18
estate,25,25,0.18
events,25,25,0.18
exchange,25,25,0.18
expert,42,42,0.18
exposed,14,14,0.18
express,25,25,0.18
fail,25,25,0.18
faith,9.98,9.98,0.18
family,23,23,0.18
fans,50,50,0.18
farm,25,25,0.18
fashion,20,20,0.18
finance,41,41,0.18
financial,38,38,0.18
fish,28,28,0.18
fishing,20,20,0.18
fit,20,20,0.18
fitness,25,25,0.18
flights,38,38,0.18
florist,23,23,0.18
fm,85,85,0
foo,10,10,0.18
football,17,17,0.18
forex,30,30,0.18
forsale,23,23,0.18
foundation,21.5,21.5,0.18
fun,25,25,0.18
fund,42,42,0.18
furniture,80,80,0.18
futbol,9,9,0.18
fyi,15,15,0.18
gallery,17,17,0.18
games,20,20,0.18
garden,20,20,0.18
gifts,23,23,0.18
gives,21.5,21.5,0.18
glass,41,41,0.18
gmbh,25,25,0.18
gold,75,75,0.18
golf,42,42,0.18
graphics,17,17,0.18
gratis,14,14,0.18
green,52.5,52.5,0.18
gripe,21.5,21.5,0.18
group,14,14,0.18
guide,25,25,0.18
guru,27,27,0.18
haus,21.5,21.5,0.18
health,50,50,0.18
healthcare,46,46,0.18
hockey,38,38,0.18
holdings,42,42,0.18
holiday,41,41,0.18
horse,20,20,0.18
hospital,41,41,0.18
host,65,65,0.18
house,28,28,0.18
how,20,20,0.18
immo,21.5,21.5,0.18
immobilien,21.5,21.5,0.18
industries,28,28,0.18
info,16,16,0.18
ink,19,19,0.18
institute,18,18,0.18
insure,41,41,0.18
international,20,20,0.18
investments,80,80,0.18
io,45,45,0
irish,14,14,0.18
jetzt,14,14,0.18
jewelry,42,42,0.18
kaufen,23,23,0.18
kim,15,15,0.18
kitchen,41,41,0.18
land,25,25,0.18
lawyer,40,40,0.18
lease,38,38,0.18
legal,45,45,0.18
lgbt,43,43,0.18
life,24,24,0.18
lighting,17,17,0.18
limited,23,23,0.18
limo,38,38,0.18
live,21,21,0.18
loan,3.98,4.98,0.18
loans,75,75,0.18
love,20,20,0.18
ltd,19,19,0.18
luxe,15,15,0.18
maison,38,38,0.18
management,16,16,0.18
market,28,28,0.18
marketing,28,28,0.18
markets,11,11,0.18
mba,25,25,0.18
me,13.1,13.1,0
me.uk,4.94,4.94,0
media,28,28,0.18
memorial,35.5,35.5,0.18
men,3.98,4.98,0.18
miami,12,12,0.18
mobi,20,20,0.18
moda,21.5,21.5,0.18
money,25,25,0.18
mortgage,40,40,0.18
mov,10,10,0.18
movie,215,215,0.18
net,9.92,9.92,0.18
net.co,8,8,0
et.io,45,45,0
network,21.5,21.5,0.18
new,400,400,0.18
news,21,21,0.18
nexus,10,10,0.18
ninja,21,21,0.18
nom.co,8,8,0
observer,9,9,0.18
online,25,25,0.18
org,9.93,9.93,0.18
org.uk,4.94,4.94,0
page,8,8,0.18
partners,46,46,0.18
parts,25,25,0.18
party,3.98,4.98,0.18
pet,16,16,0.18
phd,20,20,0.18
photography,23,23,0.18
photos,17,17,0.18
pictures,9,9,0.18
pink,15,15,0.18
pizza,42,42,0.18
place,14,14,0.18
plumbing,38,38,0.18
plus,25,25,0.18
press,49,49,0.18
pro,16,16,0.18
productions,25,25,0.18
prof,20,20,0.18
promo,16,16,0.18
properties,25,25,0.18
pub,25,25,0.18
racing,9.98,9.98,0.18
adio.io,45,45,0
realty,280,280,0.18
recipes,42,42,0.18
red,15,15,0.18
rehab,25,25,0.18
reise,66,66,0.18
reisen,14,14,0.18
rent,45,45,0.18
rentals,25,25,0.18
repair,25,25,0.18
report,16,16,0.18
republican,25,25,0.18
rest,25,25,0.18
restaurant,41,41,0.18
review,9.98,9.98,0.18
reviews,40,40,0.18
rip,15,15,0.18
rocks,13,13,0.18
rodeo,5,5,0.18
rsvp,8,8,0.18
run,17,17,0.18
sale,25,25,0.18
salon,41,41,0.18
sarl,21.5,21.5,0.18
school,25,25,0.18
schule,16,16,0.18
science,9.98,9.98,0.18
security,2000,2000,0.18
select,20,20,0.18
services,25,25,0.18
shoes,41,41,0.18
shopping,23,23,0.18
show,28,28,0.18
singles,23,23,0.18
site,25,25,0.18
soccer,16,16,0.18
social,25,25,0.18
software,25,25,0.18
solar,40,40,0.18
solutions,20,20,0.18
soy,18,18,0.18
space,20,20,0.18
storage,500,500,0.18
store,40,40,0.18
stream,3.98,4.98,0.18
studio,24,24,0.18
style,25,25,0.18
supplies,16,16,0.18
supply,16,16,0.18
support,18,18,0.18
surf,20,20,0.18
surgery,35.5,35.5,0.18
systems,21,21,0.18
tax,46,46,0.18
taxi,42,42,0.18
team,23,23,0.18
tech,40,40,0.18
technology,20,20,0.18
tennis,43,43,0.18
theater,41,41,0.18
theatre,500,500,0.18
tienda,41,41,0.18
tips,21,21,0.18
tires,70,70,0.18
today,18,18,0.18
tools,23,23,0.18
tours,41,41,0.18
town,23,23,0.18
toys,41,41,0.18
trade,3.98,4.98,0.18
trading,13,13,0.18
training,25,25,0.18
tv,25,25,0
uk,4.94,4.94,0
university,40,40,0.18
us,6.5,6.5,0
vacations,25,25,0.18
ventures,38,38,0.18
vet,27,27,0.18
viajes,35,35,0.18
video,25,25,0.18
villas,35.5,35.5,0.18
vin,41,41,0.18
vip,11,11,0.18
vision,25,25,0.18
vodka,20,20,0.18
voyage,38,38,0.18
watch,28,28,0.18
webcam,9.98,9.98,0.18
website,20,20,0.18
wedding,20,20,0.18
wiki,19,19,0.18
win,3.98,4.98,0.18
wine,38,38,0.18
work,6,6,0.18
works,25,25,0.18
world,25,25,0.18
wtf,23,23,0.18
xyz,10,10,0.18
yoga,20,20,0.18
zone,25,25,0.18
